CPI growth,Change in Unemployment Rate,GDP growth,year,month
0.005535983895319729,-0.2999999999999998,0.014720732611829046,2006,3
0.008508508508508372,-0.2999999999999998,0.01257897281391096,2006,4
0.00496277915632759,-0.09999999999999964,0.002315418018485671,2006,5
0.0019753086419753707,0.39999999999999947,-0.002427369778358335,2006,6
0.0029571217348447476,0.20000000000000018,0.000898957172836834,2006,7
0.0019656019656020263,-0.40000000000000036,0.009604141450364923,2006,8
-0.004904364884747436,-0.1999999999999993,0.01199203318152775,2006,9
-0.005421389847215297,-0.3000000000000007,0.005294740979575385,2006,10
-0.0014866204162538033,0.20000000000000018,-0.006334170332263023,2006,11
0.0014888337468983437,0.0,-0.01045271663670444,2006,12
0.0030525272547075044,0.7000000000000002,-0.004614147278134251,2007,1
0.005350367559876723,-0.09999999999999964,0.009227238280226757,2007,2
