Large_Cap_Growth_FOCPX,Large_Cap_Value_FGRIX,Mid_Cap_Growth_FDGRX,Mid_Cap_Value_FLPSX,Small_Cap_Growth_OPOCX,Small_Cap_Value_HRTVX,Date
16.90999984741211,52.02000045776367,31.59000015258789,52.72999954223633,86.44999694824219,45.65999984741211,2022-03-21
17.260000228881836,52.5099983215332,32.189998626708984,52.959999084472656,87.8499984741211,45.90999984741211,2022-03-22
17.010000228881836,51.900001525878906,31.709999084472656,52.470001220703125,86.16999816894531,45.16999816894531,2022-03-23
17.350000381469727,52.38999938964844,32.4900016784668,52.900001525878906,87.5999984741211,45.540000915527344,2022-03-24
17.309999465942383,52.869998931884766,32.349998474121094,53.310001373291016,86.91000366210938,45.79999923706055,2022-03-25
17.520000457763672,52.72999954223633,32.7400016784668,53.08000183105469,87.08999633789062,45.439998626708984,2022-03-28
17.889999389648438,53.31999969482422,33.41999816894531,53.790000915527344,89.66999816894531,46.11000061035156,2022-03-29
17.68000030517578,53.040000915527344,33.02000045776367,53.25,88.2300033569336,45.529998779296875,2022-03-30
17.3700008392334,52.130001068115234,32.47999954223633,52.54999923706055,87.41000366210938,45.150001525878906,2022-03-31
17.479999542236328,52.209999084472656,32.619998931884766,52.7599983215332,88.18000030517578,45.31999969482422,2022-04-01
17.920000076293945,52.349998474121094,33.31999969482422,52.880001068115234,88.36000061035156,45.189998626708984,2022-04-04
17.530000686645508,51.77000045776367,32.5,52.4900016784668,86.26000213623047,44.31999969482422,2022-04-05
17.100000381469727,51.459999084472656,31.600000381469727,52.369998931884766,84.27999877929688,43.68000030517578,2022-04-06
17.06999969482422,51.619998931884766,31.6200008392334,52.380001068115234,84.3499984741211,43.68000030517578,2022-04-07
16.8700008392334,51.900001525878906,31.149999618530273,52.83000183105469,83.62999725341797,43.689998626708984,2022-04-08
16.469999313354492,51.29999923706055,30.5,52.47999954223633,83.0,43.41999816894531,2022-04-11
16.399999618530273,51.220001220703125,30.43000030517578,52.459999084472656,83.33999633789062,43.400001525878906,2022-04-12
16.719999313354492,51.75,31.15999984741211,53.04999923706055,85.01000213623047,44.060001373291016,2022-04-13
16.360000610351562,51.279998779296875,30.5,52.95000076293945,83.91000366210938,44.0,2022-04-14
16.360000610351562,51.369998931884766,30.3799991607666,53.040000915527344,83.16000366210938,44.060001373291016,2022-04-18
16.700000762939453,51.939998626708984,31.059999465942383,53.45000076293945,85.5,44.7400016784668,2022-04-19
16.440000534057617,52.2599983215332,30.639999389648438,53.900001525878906,85.44000244140625,45.220001220703125,2022-04-20
16.040000915527344,51.650001525878906,29.860000610351562,53.11000061035156,82.51000213623047,44.439998626708984,2022-04-21
15.65999984741211,50.29999923706055,29.010000228881836,51.790000915527344,79.7300033569336,43.349998474121094,2022-04-22
15.859999656677246,50.279998779296875,29.360000610351562,51.72999954223633,81.01000213623047,43.22999954223633,2022-04-25
15.3100004196167,49.0,28.170000076293945,50.650001525878906,77.88999938964844,42.290000915527344,2022-04-26
15.279999732971191,49.33000183105469,28.1299991607666,50.66999816894531,77.5999984741211,42.060001373291016,2022-04-27
15.829999923706055,50.11000061035156,29.030000686645508,51.290000915527344,78.76000213623047,42.75,2022-04-28
15.15999984741211,48.650001525878906,27.790000915527344,50.349998474121094,77.02999877929688,41.869998931884766,2022-04-29
15.399999618530273,48.849998474121094,28.329999923706055,50.380001068115234,78.0199966430664,41.869998931884766,2022-05-02
15.390000343322754,49.29999923706055,28.360000610351562,50.869998931884766,78.02999877929688,42.43000030517578,2022-05-03
15.8100004196167,50.720001220703125,29.170000076293945,52.0099983215332,79.66999816894531,43.34000015258789,2022-05-04
15.010000228881836,49.40999984741211,27.600000381469727,50.529998779296875,75.54000091552734,42.18000030517578,2022-05-05
14.779999732971191,49.33000183105469,27.09000015258789,50.369998931884766,73.51000213623047,41.75,2022-05-06
14.109999656677246,47.72999954223633,25.649999618530273,48.91999816894531,68.73999786376953,40.5099983215332,2022-05-09
14.260000228881836,47.72999954223633,25.969999313354492,48.75,69.55999755859375,40.40999984741211,2022-05-10
13.850000381469727,47.29999923706055,25.139999389648438,48.29999923706055,67.48999786376953,39.90999984741211,2022-05-11
13.829999923706055,47.18000030517578,25.1299991607666,48.369998931884766,68.30999755859375,40.20000076293945,2022-05-12
14.3100004196167,48.06999969482422,26.190000534057617,49.38999938964844,71.4800033569336,41.18000030517578,2022-05-13
14.149999618530273,48.189998626708984,25.8700008392334,49.54999923706055,70.56999969482422,41.2599983215332,2022-05-16
14.479999542236328,49.22999954223633,26.56999969482422,50.5099983215332,72.58999633789062,42.560001373291016,2022-05-17
13.859999656677246,47.619998931884766,25.309999465942383,48.869998931884766,69.43000030517578,41.400001525878906,2022-05-18
13.84000015258789,47.540000915527344,25.299999237060547,49.060001373291016,70.16999816894531,41.400001525878906,2022-05-19
13.850000381469727,47.619998931884766,25.209999084472656,48.869998931884766,70.1500015258789,41.13999938964844,2022-05-20
14.09000015258789,48.650001525878906,25.6200008392334,49.77000045776367,71.11000061035156,41.66999816894531,2022-05-23
13.720000267028809,48.439998626708984,24.889999389648438,49.52000045776367,69.4000015258789,41.4900016784668,2022-05-24
13.890000343322754,48.880001068115234,25.309999465942383,50.279998779296875,70.80999755859375,42.150001525878906,2022-05-25
14.239999771118164,49.7400016784668,26.020000457763672,51.27000045776367,72.75,42.83000183105469,2022-05-26
14.65999984741211,50.56999969482422,26.850000381469727,52.11000061035156,75.4000015258789,43.380001068115234,2022-05-27
14.619999885559082,50.290000915527344,26.65999984741211,51.939998626708984,73.88999938964844,43.20000076293945,2022-05-31
14.539999961853027,49.9900016784668,26.520000457763672,51.709999084472656,73.38999938964844,43.029998779296875,2022-06-01
14.890000343322754,50.599998474121094,27.3799991607666,52.18000030517578,75.91999816894531,43.75,2022-06-02
14.600000381469727,50.06999969482422,26.790000915527344,51.75,74.94000244140625,43.5,2022-06-03
14.680000305175781,50.209999084472656,26.860000610351562,52.040000915527344,75.36000061035156,43.939998626708984,2022-06-06
14.819999694824219,50.790000915527344,27.139999389648438,52.41999816894531,76.73999786376953,44.349998474121094,2022-06-07
14.770000457763672,50.209999084472656,26.979999542236328,51.90999984741211,75.5,43.91999816894531,2022-06-08
14.359999656677246,49.08000183105469,26.239999771118164,51.04999923706055,73.76000213623047,43.290000915527344,2022-06-09
13.880000114440918,47.79999923706055,25.280000686645508,49.95000076293945,71.41000366210938,42.18000030517578,2022-06-10
13.260000228881836,46.130001068115234,24.030000686645508,48.20000076293945,67.80999755859375,40.33000183105469,2022-06-13
13.300000190734863,45.84000015258789,24.079999923706055,47.849998474121094,67.62999725341797,40.02000045776367,2022-06-14
13.569999694824219,46.290000915527344,24.68000030517578,48.16999816894531,68.43000030517578,40.459999084472656,2022-06-15
13.069999694824219,44.880001068115234,23.65999984741211,46.61000061035156,64.98999786376953,38.79999923706055,2022-06-16
13.25,44.75,23.969999313354492,46.2400016784668,65.63999938964844,38.97999954223633,2022-06-17
13.529999732971191,45.7400016784668,24.59000015258789,46.849998474121094,66.91999816894531,39.59000015258789,2022-06-21
13.489999771118164,45.310001373291016,24.540000915527344,46.40999984741211,66.7300033569336,39.31999969482422,2022-06-22
13.6899995803833,45.18000030517578,24.940000534057617,46.279998779296875,68.11000061035156,39.279998779296875,2022-06-23
14.149999618530273,46.619998931884766,25.809999465942383,47.36000061035156,70.91999816894531,40.31999969482422,2022-06-24
14.029999732971191,46.75,25.600000381469727,47.709999084472656,70.87000274658203,40.689998626708984,2022-06-27
13.640000343322754,46.459999084472656,24.799999237060547,47.43000030517578,69.52999877929688,40.34000015258789,2022-06-28
13.710000038146973,46.04999923706055,24.770000457763672,47.09000015258789,69.0199966430664,39.95000076293945,2022-06-29
13.510000228881836,45.56999969482422,24.350000381469727,46.52000045776367,68.08999633789062,39.849998474121094,2022-06-30
13.59000015258789,45.779998779296875,24.489999771118164,46.79999923706055,68.63999938964844,40.36000061035156,2022-07-01
13.800000190734863,45.290000915527344,25.010000228881836,46.189998626708984,69.37000274658203,40.150001525878906,2022-07-05
13.850000381469727,45.20000076293945,25.049999237060547,46.02000045776367,68.80000305175781,39.790000915527344,2022-07-06
14.140000343322754,45.91999816894531,25.709999084472656,46.849998474121094,70.83000183105469,40.45000076293945,2022-07-07
14.119999885559082,45.91999816894531,25.719999313354492,46.95000076293945,70.81999969482422,40.5,2022-07-08
13.8100004196167,45.4900016784668,25.1200008392334,46.52000045776367,69.37000274658203,40.150001525878906,2022-07-11
13.680000305175781,45.22999954223633,24.8799991607666,46.41999816894531,68.11000061035156,39.97999954223633,2022-07-12
13.65999984741211,44.9900016784668,24.860000610351562,46.349998474121094,68.01000213623047,40.0,2022-07-13
13.640000343322754,44.66999816894531,24.81999969482422,45.91999816894531,67.58000183105469,39.58000183105469,2022-07-14
13.869999885559082,45.72999954223633,25.260000228881836,46.77000045776367,68.88999938964844,40.31999969482422,2022-07-15
13.760000228881836,45.65999984741211,25.110000610351562,46.86000061035156,68.80000305175781,40.36000061035156,2022-07-18
14.170000076293945,46.93000030517578,25.93000030517578,48.040000915527344,71.0199966430664,41.439998626708984,2022-07-19
14.369999885559082,47.04999923706055,26.3700008392334,48.099998474121094,72.38999938964844,41.66999816894531,2022-07-20
14.520000457763672,47.25,26.649999618530273,48.15999984741211,73.5,41.689998626708984,2022-07-21
14.220000267028809,47.040000915527344,26.079999923706055,47.939998626708984,72.54000091552734,41.43000030517578,2022-07-22
14.15999984741211,47.349998474121094,25.969999313354492,48.40999984741211,72.66000366210938,41.77000045776367,2022-07-25
